ATLETA;RATING
MASSAHARU FUKUSHIMA;151, 151
MATEUS KLIEMANN;463
MATHEUS ANDRADE;2147
MATHEUS FIGUEREDO;373, 355, 424
MATHEUS FRANÇA;1347, 1293, 1233
MATHEUS GOMES;1205, 1226, 1214
MATHEUS HIRATA;1110
MATHEUS JACUMASSO;1625, 1634, 1616
MATHEUS LESME;2204, 2207, 2213, 2237, 2246
MATHEUS NASCIMENTO;1212, 1212, 1176
MATHEUS SAKURADA;1255, 1255, 1315
MATHEUS SANTOS;1457, 1409
MATHEUS SILVEIRA;208, 166, 151, 133
MATIAS ARENHARD;322, 358
MATIAS BARBOSA;328, 313, 298
MATTEUS BECKER;450, 492, 534
MAURO SANDOVAL;953, 962
MELISSA AOYAMA;3482, 3485, 3488
MELISSA JERONIMO;1122, 1125
MESSIAS SANTOS;3030, 3033
MICAEL PESSOA;1083
MICHEL MATSUMOTO;534
MIGUEL BARBOSA;1229, 1232, 1196, 1148, 1154
MIGUEL REFUNDINI;511, 478, 460
MIGUEL SCUSSIATTO;208, 250, 214, 256, 229
MIGUEL SOUZA;113, 107, 101
MILENE VASCONCELLOS;962, 986
MIRIAM NISHIMORI;2293
MOHAMMAD KORYANI;371
MURILO ESSER;1041, 1041, 1041, 1032
MURILO NAPOLI;2175
NATHÁLIA FERNANDES;460, 514
NATHAN CORREA;286, 316
NESTOR CHAVES;2847, 2844, 2859
NICOLAS ANDRADE;878, 956, 989
NICOLAS BARBOSA;166, 148, 196, 223, 199
NICOLAS FARIA;208, 250
NICOLAS NOGUTI;350
NICOLAS PERALTA;382, 412, 454, 475, 499
NICOLAS SHIMADA;373
NICOLY FERNANDES;250, 220, 202
NIHAN ABDALLAH;1841, 1844, 1844
NILTON TAKAOKA;927, 930
NIVIN ABDALLAH;2961, 2964
OCTAVIO BERNARDO;1070
ODAIR JAREMTCHUK;406, 439, 421, 403
OLAVO FIRINO;410, 392, 362
OLIDES JÚNIOR;1436, 1439
OMAR ABDALLAH;2156
OTÁVIO IENERICH;1052, 1052, 1052
PAULO ASSIS;160, 151
PAULO JUNIOR;295, 295, 286
PAULO MITSUI;339, 363, 378
PAULO SILVA;184
PAULO UTIME;507
PAULO ZIELKE;1509
PEDRO EGASHIRA;1085, 1133, 1133
PEDRO MACHADO;897, 885, 963
PEDRO MULLER;250, 274, 241
PEDRO SILVA;595, 565, 544, 535
PEDRO TAKAYAMA;1408, 1411, 1414
PEDRO TUSSET;2413, 2428, 2368, 2380
PIETRO NASCIMENTO;412, 394, 454, 436
PRISCILA RALICKAS;1699
RAFAEL FAGUNDES;876
RAFAEL KUMAGAI;206
RAFAEL SAMPAIO;1514, 1490
RAFAEL SANTOS;714, 756, 783
RAFAEL SILVA;250, 292, 316, 334, 301
RAJ ADDI;563, 599, 587, 566
RAPHAEL SOUZA;543, 561, 579
RAVI BERTHOLDI;805, 772, 736
REBECA AFONSO;270, 303
REBECA SCHNEIDER;408, 435
RÉGULO BONFIGLIO;1374, 1314, 1326
RENAN ALMEIDA;238, 268
RENATA TSUKADA;1803, 1803, 1803
RENATO FILHO;250, 250, 250
RICARDO AOYAMA;2677, 2686
RICARDO VALUS;250, 229, 208
RICCARDO MACIEL;1777, 1711, 1735
RILLARY SERAPHIM;639, 597
ROBERTO ANDRE;250, 229, 202
ROBERTO JÚNIOR;2251, 2248
RODRIGO VIANNA;734, 725, 725
ROGERIO LUZ;1761
ROGÉRIO MIURA;1144
ROGÉRIO OLIVEIRA;364, 349, 322, 307
RONNI NARDI;745
ROSANA HAYASHI;827, 842
ROSANA OHASHI;243, 291, 264, 288
ROSICLER JAMBERSI;296
RUTH ZAMA;806
SABRINA MIZVA;2189, 2189
SAMARA LESME;745
SAMUEL MATSUMOTO;507, 507, 528
SAMUEL MITSUI;726, 735, 708
SAMUEL SILVA;1339, 1285, 1291
SAMUEL SOBRAL;301, 343
SAMUEL ZILIO;534, 552, 519, 501
SANDRO CAMARGO;304
SARAH ABADIE;142
SAULO PIRES;325, 301
SÉRGIO LIMA;500, 473, 509
SÉRGIO UEDA;267
SÍLVIO ALBUQUERQUE;1193, 1208
SIMONE YAMADA;849
SOFIA MATSUMURA;100, 91, 61
SOFIA MICHALICHEM;1256, 1256, 1256
SUELI OYAMA;6
TAKASHI ANEGAWA;891, 903
TAKATSUGU KONNO;669
TASSIA TANAKA;1524
THALES LOPES;1186, 1186, 1186, 1264
THEO MACHADO;481, 496, 496
THIAGO SILVA;196, 172, 214, 238, 205
THIAGO WOLSKI;612, 594, 621
TIAGO LEMES;557, 536, 584, 638
VALENTINA GALVÃO;250, 292, 328, 352
VALMIR JUNIOR;530, 554, 521, 545
